stage_id,cluster_code,district,real_spot,wizarding_alias,wizarding_zone,canon_ref,recommended_threads,tags,lat,lng,safe_only,story_hook,npc_hint
stage_psq_01,psq,黄浦,人民广场,九又四分之三候车厅,九又四分之三枢纽,King's Cross / Platform 9¾,thread_floo_fracture|thread_ministry_lockdown,clue|hub|order|portal|security|signal|transport,31.230481,121.473531,True,在「人民广场·九又四分之三候车厅」附近，飞路网与门钥匙线路出现异常回声；你需要在下一次跳转前确认正确的通行暗号与时间窗。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_psq_02,psq,黄浦,上海博物馆,九又四分之三检票口,九又四分之三枢纽,King's Cross / Platform 9¾,thread_floo_fracture|thread_ministry_lockdown,clue|hub|order|portal|security|signal|transport,31.230454,121.475776,True,在「上海博物馆·九又四分之三检票口」附近，飞路网与门钥匙线路出现异常回声；你需要在下一次跳转前确认正确的通行暗号与时间窗。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_psq_03,psq,黄浦,上海大剧院,霍格沃茨快线广播,九又四分之三枢纽,King's Cross / Platform 9¾,thread_floo_fracture|thread_ministry_lockdown,clue|hub|order|paper|portal|security|signal|transport,31.23049,121.471667,True,在「上海大剧院·霍格沃茨快线广播」附近，飞路网与门钥匙线路出现异常回声；你需要在下一次跳转前确认正确的通行暗号与时间窗。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_psq_04,psq,黄浦,城市规划展示馆,魔法交通司调度台,九又四分之三枢纽,King's Cross / Platform 9¾,thread_floo_fracture|thread_ministry_lockdown,clue|hub|order|portal|security|signal|transport,31.231986,121.473552,True,在「城市规划展示馆·魔法交通司调度台」附近，飞路网与门钥匙线路出现异常回声；你需要在下一次跳转前确认正确的通行暗号与时间窗。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_psq_05,psq,黄浦,人民公园,门钥匙登记处,九又四分之三枢纽,King's Cross / Platform 9¾,thread_floo_fracture|thread_ministry_lockdown,clue|hub|order|portal|security|signal|transport,31.228895,121.473658,True,在「人民公园·门钥匙登记处」附近，飞路网与门钥匙线路出现异常回声；你需要在下一次跳转前确认正确的通行暗号与时间窗。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_psq_06,psq,黄浦,来福士广场,飞路紧急接驳点,九又四分之三枢纽,King's Cross / Platform 9¾,thread_floo_fracture|thread_ministry_lockdown,clue|hub|order|portal|security|signal|transport,31.232148,121.475754,True,在「来福士广场·飞路紧急接驳点」附近，飞路网与门钥匙线路出现异常回声；你需要在下一次跳转前确认正确的通行暗号与时间窗。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_psq_07,psq,黄浦,福州路口,骑士公交临停站,九又四分之三枢纽,King's Cross / Platform 9¾,thread_floo_fracture|thread_ministry_lockdown,clue|hub|order|portal|security|signal|transport,31.228643,121.475723,True,在「福州路口·骑士公交临停站」附近，飞路网与门钥匙线路出现异常回声；你需要在下一次跳转前确认正确的通行暗号与时间窗。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_psq_08,psq,黄浦,黄河路口,猫头鹰投递窗口,九又四分之三枢纽,King's Cross / Platform 9¾,thread_floo_fracture|thread_ministry_lockdown,clue|hub|order|portal|signal|transport,31.231859,121.471772,True,在「黄河路口·猫头鹰投递窗口」附近，飞路网与门钥匙线路出现异常回声；你需要在下一次跳转前确认正确的通行暗号与时间窗。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_psq_09,psq,黄浦,延安东路口,麻瓜驱散咒警示牌,九又四分之三枢纽,King's Cross / Platform 9¾,thread_floo_fracture|thread_ministry_lockdown,clue|hub|order|portal|signal|transport,31.228733,121.471667,True,在「延安东路口·麻瓜驱散咒警示牌」附近，飞路网与门钥匙线路出现异常回声；你需要在下一次跳转前确认正确的通行暗号与时间窗。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
stage_psq_10,psq,黄浦,南京西路口,隐形斗篷失物处,九又四分之三枢纽,King's Cross / Platform 9¾,thread_floo_fracture|thread_ministry_lockdown,clue|hub|order|portal|signal|transport,31.230418,121.477177,True,在「南京西路口·隐形斗篷失物处」附近，飞路网与门钥匙线路出现异常回声；你需要在下一次跳转前确认正确的通行暗号与时间窗。,站台引导员/邮局分拣员/无线电播音员（节拍强、信息短句）
